Year,Month,Temp
1957,8,27.369
1957,9,21.578
1957,10,17.117
1957,11,13.834
1957,12,7.312
1958,1,2.417
1958,2,4.848
1958,3,9.87
1958,4,15.758
1958,5,19.081
1958,6,25.096
1958,7,29.599
1958,8,27.252
1958,9,23.563
1958,10,16.158
1958,11,11.519
1958,12,7.636
1959,1,2.264
1959,2,5.655
1959,3,11.068
1959,4,15.018
1959,5,19.536
1959,6,24.535
1959,7,29.246
1959,8,29.423
1959,9,23.718
1959,10,18.68
1959,11,12.264
1959,12,7.066
1960,1,4.337
1960,2,7.1
1960,3,11.466
1960,4,14.61
1960,5,19.509
1960,6,24.528
1960,7,29.792
1960,8,27.379
1960,9,24.794
1960,10,18.168
1960,11,12.817
1960,12,4.695
1961,1,3.49
1961,2,5.561
1961,3,9.995
1961,4,15.741
1961,5,20.112
1961,6,25.444
1961,7,30.013
1961,8,29.297
1961,9,24.673
1961,10,18.868
1961,11,14.232
1961,12,6.81
1962,1,2.207
1962,2,6.481
1962,3,9.304
1962,4,13.531
1962,5,19.549
1962,6,24.231
1962,7,29.036
1962,8,28.053
1962,9,24.189
1962,10,17.86
1962,11,11.971
1962,12,6.927
1963,1,1.466
1963,2,4.036
1963,3,10.299
1963,4,15.216
1963,5,20.659
1963,6,23.744
1963,7,28.806
1963,8,28.536
1963,9,24.33
1963,10,17.01
1963,11,13.372
1963,12,6.902
1964,1,5.021
1964,2,1.706
1964,3,9.516
1964,4,17.364
1964,5,19.707
1964,6,23.964
1964,7,30.341
1964,8,28.597
1964,9,25.794
1964,10,18.765
1964,11,12.015
1964,12,6.171
1965,1,4.983
1965,2,5.947
1965,3,8.38
1965,4,13.077
1965,5,20.644
1965,6,23.427
1965,7,28.859
1965,8,27.309
1965,9,22.837
1965,10,18.313
1965,11,13.999
1965,12,4.995
1966,1,4.424
1966,2,7.054
1966,3,10.785
1966,4,14.687
1966,5,19.852
1966,6,24.618
1966,7,28.454
1966,8,29.309
1966,9,22.375
1966,10,18.337
1966,11,12.754
1966,12,5.402
1967,1,2.365
1967,2,4.397
1967,3,9.645
1967,4,14.534
1967,5,20.598
1967,6,25.589
1967,7,28.789
1967,8,30.421
1967,9,24.117
1967,10,18.179
1967,11,12.281
1967,12,1.697
1968,1,2.889
1968,2,2.081
1968,3,9.768
1968,4,14.756
1968,5,19.865
1968,6,24.178
1968,7,27.507
1968,8,28.061
1968,9,24.036
1968,10,17.181
1968,11,13.889
1968,12,9.375
1969,1,3.265
1969,2,2.226
1969,3,7.729
1969,4,15.288
1969,5,20.962
1969,6,23.523
1969,7,27.31
1969,8,28.632
1969,9,25.147
1969,10,17.996
1969,11,10.543
1969,12,5.051
1970,1,1.925
1970,2,6.362
1970,3,6.423
